pType;pId;year;subject
PEC;182;2007;EMENDA AGLUTINATIVA Nº 29
PEC;182;2007;EMENDA AGLUTINATIVA Nº 48
PEC;182;2007;DTQ 27 - PMDB - PREFERÊNCIA PARA A PEC 444/2014
PEC;182;2007;EMENDA AGLUTINATIVA Nº 53
PEC;182;2007;EMENDA AGLUTINATIVA Nº 54
PEC;182;2007;ART. 7º  DO SUBSTITUTIVO - POSSE DO PRESIDENTE E GOVERNADORES
PEC;182;2007;DTQ 25 : PR - INCISO III DO § 8º OFERECIDO AO ART. 14 DA CF
PEC;182;2007;EMENDA AGLUTINATIVA Nº 57
PEC;182;2007;EMENDA AGLUTINATIVA Nº 56
PEC;182;2007;EMENDA AGLUTINATIVA Nº 60
PEC;182;2007;EMENDA AGLUTINATIVA Nº 59
PEC;182;2007;"DTQ  2: DEM - EXP.: ""PRESIDENTE DA REPÚBLICA"" CONST. DO § 5º DO ART 14 DA CF"
PEC;182;2007;DTQ  3: PMDB - ARTIGO 3º
PEC;182;2007;DTQ  4: PMDB - ARTIGO 6º
PEC;182;2007;ADMISSIBILIDADE EM GLOBO DOS DESTAQUES SIMPLES
PEC;182;2007;§ 5º DO ART. 17 DA C.F., CONSTANTE DO ART. 1º DA PEC
PEC;182;2007;"DTQ. 12 - PR - ALÍNEA ""D"" DO INCISO VI, PAR 3º. DO ART 14 DA CF/88"
PEC;443;2009;REQUERIMENTO DE RETIRADA DE PAUTA
PEC;443;2009;DTQ 7: PPS - INC. XXII DO ART. 37 DO ART.1º E DO § 2ºA DO ART. 131 DO ART. 2º
PEC;443;2009;SUBSTITUTIVO DA COMISSÃO ESPECIAL
PEC;443;2009;EMENDA AGLUTINATIVA Nº 16
PEC;443;2009;DTQ 20: DEM - PREFERÊNCIA P/ VOTAÇÃO DA EMENDA AGLUTINATIVA Nº 16
PEC;172;2012;SUBSTITUTIVO DA COMISSÃO ESPECIAL
PEC;172;2012;DTQ. 3: PT -  §9º DO ART. 167, DA CF. CONST. DO ART. 1º DO SUBSTITUTIVO...
PEC;172;2012;DTQ. 4 : PCdoB -  §7º DO ART. 167, CONST. DO ART. 1º DO SUBSTITUTIVO
PEC;172;2012;DTQ 1: PCdoB - § 7º DO ART 167, CONST. DO ART. 1º DO SUBSTITUTIVO
PEC;172;2012;"DTQ 2: PPS - EXP. ""E 198, §5º"" CONST. DO § 7º DO ART. 167 DA CONST. FEDERAL"
PEC;172;2012;PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO
PEC;197;2012;PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO
PEC;209;2012;SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO
PEC;352;2013;REQUERIMENTO DE RETIRADA DE PAUTA
PEC;358;2013;PROPOSTA DE EMENDA À CONSTITUIÇÃO - 2º TURNO
PEC;358;2013;DVS - PSOL - ART. 2º DA PEC Nº 358/2013 - 2º TURNO
PEC;395;2014;SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO
PEC;74;2015;SUBSTITUTIVO DA COMISSÃO ESPECIAL
PL;2479;2000;REQUERIMENTO DE PREFERÊNCIA PARA O TEXTO ORIGINAL
PL;2505;2000;DVS PSDB - EMENDA Nº 6
PL;4330;2004;REQ. PARA VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA
PL;4330;2004;SUBEMENDA SUBSTITUTIVA
PL;4330;2004;"DVS - PSDB - EXPR. ""ÀS EMPRESAS PÚBLICAS, ÀS SOCIED. DE ECONOMIA MISTA..."
PL;4330;2004;EMENDA AGLUTINATIVA Nº 15
PL;4330;2004;EMENDA AGLUTINATIVA Nº 18
PL;4474;2004;EMENDA SUBSTITUTIVA GLOBAL DE PLENÁRIO Nº 1
PL;7699;2006;DVS - BLOCO PRB - INC. VI, §4º, ART 18 DA SUBEMENDA SUBST. DE PLENÁRIO
PL;7699;2006;DVS - BLOCO PRB - INC. VI, §4º, ART 18 DA SUBEMENDA SUBST. DE PLENÁRIO
PL;789;2007;REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014
PL;1057;2007;SUBEMENDA SUBSTITUTIVA GLOBAL
PL;2211;2007;REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES
PL;3131;2008;SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15
PL;4148;2008;REQUERIMENTO DE RETIRADA DE PAUTA
PL;4148;2008;SUBEMENDA SUBSTITUTIVA DA CDEIC
PL;3481;2012;REQUERIMENTO DE RETIRADA DE PAUTA
PL;3481;2012;PREFERÊNCIA PARA O SUBSTITUTIVO DA CSPCCO
PL;3771;2012;REQUERIMENTO DE RETIRADA DE PAUTA
PL;4246;2012;"DVS - PTB/PSDC -  ""ARTS. 16 E 17"", CONST. DA EMENDA Nº 12"
PL;5735;2013;DTQ 30: PT - EMENDA Nº 9
PL;5735;2013;DTQ 46: PMDB - EMENDA Nº 75
PL;5735;2013;EMENDA AGLUTINATIVA Nº 15
PL;5735;2013;DTQ 9: PCdoB - EMENDA Nº 14
PL;5735;2013;EMENDA AGLUTINATIVA Nº 30
PL;5735;2013;DTQ 22: BLOCO PRB - ART. 46 DA LEI Nº 9504/97 CONST. DO ART. 2º DO SUBST.
PL;5735;2013;DTQ. 4: PSDB - CAPUT. DO ART. 9º DA LEI Nº 9504/97, CONST. DO ART. 1º DO SUBST.
PL;5735;2013;DTQ. 12: PT - ART. 24 DA LEI 9504/97 CONST. DO ART. 1º DO SUBST DO SF
PL;5735;2013;DTQ. 18: PSD - ART. 47, §2º, I, DO ART. 1º DO SUBSTITUTIVO DO SF
PL;5735;2013;DTQ. 9: PSB - ART. 22-A DA LEI 9.096/95 CONST. DO ART. 2º DO SUBSTITUTIVO DO S.F
PL;6446;2013;DTQ 2: BLOCO PP-PROS - EMENDA DE PLENÁRIO Nº 1
PL;6446;2013;"DTQ 6: PSDB - DA EXPR. ""EM JUÍZO...PRÉVIO"" CONST. DO ART. 10 DO PL 6.446/2013"
PL;6446;2013;PROJETO DE LEI
PL;7469;2014;REQUERIMENTO DE RETIRADA DE PAUTA
PL;7469;2014;REQ. DE INVERSÃO DE PAUTA PARA O ITEM 2, PLP Nº 302/2013
PL;7735;2014;DVS - PRB - EMENDA Nº 193
PL;7735;2014;DVS - PDT - EMENDA Nº 3
PL;7735;2014;DVS - PV - EMENDA Nº 12
PL;7924;2014;REQUERIMENTO DE RETIRADA DE PAUTA
PL;10;2015;REQUERIMENTO DE RETIRADA DE PAUTA
PL;846;2015;DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA
PL;863;2015;"DTQ. 5: PSB - EXP. ""DE CALL CENTER"" CONST. DO ART. 7º-A DA LEI 12.546"
PL;863;2015;DTQ. 9: PPS - EMENDA Nº 89
PL;863;2015;SUBSTITUTIVO DA CFT
PL;863;2015;DTQ. 21: PSDB - EMENDA Nº 100
PL;863;2015;DTQ. 32: DEM - ART. 1º DO SUBSTITUTIVO
PL;863;2015;DTQ 17 - PSDB - EMENDA 97
PL;863;2015;EMENDA  AGLUTINATIVA Nº 6
PL;863;2015;DTQ 3 - SOLIDARIEDADE -  EMENDA Nº 4
PL;863;2015;DTQ. 8 - PP -  ART. 4º DO SUBSTITUTIVO
PL;863;2015;DTQ 30: PSD -  ART. 5º DO SUBSTITUTIVO
PL;2016;2015;EMENDA AGLUTINATIVA Nº 4
PL;2020;2015;DTQ 1: PSDB - EMENDA DE PLENÁRIO Nº 1
PL;2750;2015;REQUERIMENTO DE RETIRADA DE PAUTA
PL;2960;2015;REQUERIMENTO DE RETIRADA DE PAUTA
PL;2960;2015;REQUERIMENTO DE RETIRADA DE PAUTA
PL;2960;2015;REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E DO ENCAMINHAMENTO
PL;2960;2015;REQUERIMENTO DE RETIRADA DE PAUTA
PL;2960;2015;DTQ 17: PSB - §2º DO ART. 9º DA SUBEMENDA SUBSTITUTIVA GLOBAL DE PLENÁRIO
PL;2960;2015;DTQ 13: PSDB - EMENDA DE PLENÁRIO Nº 23
PL;2960;2015;SUBEMENDA SUBSTITUTIVA GLOBAL
PLP;25;2007;"DTQ 6: PTB - EXPR.: ""COM PRODUÇÃO ARTESANAL"""
